method,path,handler_line,engines_used,mutates,called_from,auth_in_handler,rbac_permission,status
GET,/api/system/backups,server.ts:4446,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/backups/create,server.ts:4456,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/backups/:id/verify,server.ts:4472,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/backups/:id/download,server.ts:4482,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/backups/pre-restore,server.ts:4497,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/backups/restore,server.ts:4509,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/backups/schedule,server.ts:4525,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
PUT,/api/system/backups/schedule,server.ts:4534,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/dr-metrics,server.ts:4545,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/dr-drill,server.ts:4554,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/export,server.ts:4578,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/export,server.ts:4579,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/import,server.ts:4582,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/drive/config,server.ts:4596,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/drive/connect,server.ts:4605,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/drive/disconnect,server.ts:4615,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
PUT,/api/system/drive/config,server.ts:4625,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/drive/sync-now,server.ts:4635,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/drive/files,server.ts:4645,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
POST,/api/system/drive/restore,server.ts:4654,backupEngine,,src/admin/BackupAdmin.tsx,n,-,WIRED
GET,/api/system/go-live-audit,server.ts:4668,backupEngine securityEngine,,NONE,n,-,ORPHAN(no client caller)
